Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Afghanistan,AFG,..,1.42520999908447,..,1.85080003738403,..,..,3.58541011810303,..,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Albania,ALB,36.499870300293,38.7108612060547,51.6000213623047,58.1426811218262,72.4409637451172,81.8277206420898,86.2625503540039,81.6520919799805,76.0817489624023,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Algeria,DZA,..,35.1531600952148,35.2762603759766,36.9633407592773,38.4860992431641,40.8421096801758,41.8615493774414,45.0758018493652,53.6224212646484,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Angola,AGO,..,..,..,3.35383009910584,..,7.89278984069824,..,7.41861009597778,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Antigua and Barbuda,ATG,..,18.1053695678711,20.9132900238037,17.3269691467285,29.2499408721924,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Argentina,ARG,82.4590911865234,85.0806503295898,89.158447265625,94.7454681396484,96.8808517456055,99.0023498535156,102.898231506348,106.788543701172,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Armenia,ARM,54.460018157959,56.6193504333496,58.0353507995605,57.7081985473633,49.8600196838379,48.4987411499023,50.0844802856445,50.5174217224121,57.115421295166,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Aruba,ABW,40.7326202392578,41.7399787902832,43.9353981018066,46.8407516479492,45.5851516723633,22.5723991394043,23.0369396209717,21.3787593841553,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Australia,AUS,..,..,..,..,..,..,..,142.273284912109,144.09928894043,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Austria,AUT,..,..,..,..,..,..,86.1036834716797,87.8598022460938,90.8258895874023,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Azerbaijan,AZE,18.8704299926758,18.931079864502,19.156379699707,19.8081798553467,20.9255294799805,22.6238193511963,24.7532291412354,27.4807796478271,29.6923694610596,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Bahrain,BHR,..,..,..,57.5012016296387,60.9556198120117,57.9523887634277,57.6057281494141,59.3547592163086,62.9921493530273,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Bangladesh,BGD,6.09112977981567,7.83536005020142,..,10.8276500701904,11.1860399246216,..,11.3822402954102,..,14.2425003051758,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Barbados,BRB,..,104.350593566895,95.864616394043,90.5811614990234,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Belarus,BLR,84.6669769287109,88.543830871582,93.9611968994141,101.146018981934,107.007888793945,106.856231689453,103.573768615723,101.016998291016,98.3960037231445,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Belgium,BEL,69.4734573364258,72.6096420288086,75.9225387573242,78.3138732910156,80.1467132568359,81.5409469604492,82.7724609375,84.6636734008789,..,..
